id_reg,id_docente,id_estudiante,id_materia,periodo
REG115,U025,U094,DER20,2023-1
REG116,U088,U075,CAL16,2023-1
REG117,U067,U089,HIS02,2023-2
REG118,U068,U094,PRO19,2024-2
REG119,U073,U047,FIL05,2024-2
REG120,U095,U021,BIO10,2023-2
REG121,U009,U074,CAL16,2024-1
REG122,U001,U094,PSI13,2024-2
REG123,U093,U085,PRO09,2023-2
REG124,U046,U041,INE18,2023-1
REG125,U014,U016,IA15,2023-1
REG126,U095,U020,PSI13,2023-1
REG127,U071,U059,DER08,2023-1
REG128,U009,U007,CAL16,2024-2
REG129,U070,U016,CAL01,2024-1
REG130,U008,U097,DER08,2023-2
REG131,U070,U016,ECO03,2023-2
REG132,U028,U092,GEO11,2024-1
REG133,U080,U086,DER20,2023-1
REG134,U025,U048,DER20,2023-1
REG135,U093,U063,DER20,2024-2
REG136,U100,U039,ECO03,2024-1
REG137,U017,U015,MEC12,2023-1
REG138,U025,U056,CAL16,2024-1
REG139,U001,U077,ECO03,2024-1
REG140,U054,U020,FIL05,2023-1
REG141,U034,U092,CAL01,2024-1
REG142,U037,U044,MEC12,2023-2
REG143,U034,U002,HIS02,2024-1
REG144,U030,U040,GEO11,2023-2
REG145,U073,U074,ALG14,2023-2
REG146,U030,U050,ALG14,2023-2
REG147,U029,U036,BIO10,2024-2
REG148,U029,U056,QUI06,2023-2
REG149,U001,U011,CAL01,2023-2
REG150,U098,U057,IA15,2024-1
REG151,U009,U032,INE18,2023-2
REG152,U028,U082,CIR07,2023-1
REG153,U095,U047,ELE04,2024-1
REG154,U095,U058,INV17,2024-1
REG155,U013,U041,ELE04,2024-2
REG156,U096,U057,ALG14,2024-1
REG157,U070,U091,DER20,2023-2
REG158,U049,U062,MEC12,2024-2
REG159,U033,U043,ECO03,2023-2
REG160,U001,U063,DER08,2024-2
REG161,U009,U016,HIS02,2023-2
REG162,U049,U053,CIR07,2024-1
REG163,U017,U016,PRO09,2024-1
REG164,U042,U050,INE18,2024-1
REG165,U084,U031,PSI13,2023-2
REG166,U054,U051,INE18,2024-1
REG167,U049,U004,DER08,2024-2
REG168,U088,U036,QUI06,2024-1
REG169,U067,U089,INE18,2023-2
REG170,U030,U089,QUI06,2023-2
REG171,U013,U075,PRO19,2023-2
REG172,U008,U065,PSI13,2023-2
REG173,U017,U038,ALG14,2023-2
REG174,U037,U064,HIS02,2023-1
REG175,U055,U078,INE18,2023-2
REG176,U054,U052,PSI13,2023-1
REG177,U014,U053,PRO09,2023-1
REG178,U088,U076,FIL05,2024-2
REG179,U096,U051,IA15,2024-1
REG180,U080,U036,FIL05,2023-1
REG181,U068,U078,MEC12,2024-2
REG182,U028,U035,PRO19,2024-2
REG183,U100,U007,ECO03,2023-1
REG184,U046,U064,DER20,2024-1
REG185,U008,U032,ECO03,2023-2
REG186,U070,U060,ECO03,2023-2
REG187,U045,U053,IA15,2023-1
REG188,U027,U097,PRO09,2023-2
REG189,U022,U077,IA15,2023-2
REG190,U073,U039,CAL01,2023-2
REG191,U008,U026,CAL16,2024-2
REG192,U010,U077,PSI13,2024-1
REG193,U028,U072,CIR07,2024-1
REG194,U017,U004,HIS02,2024-2
REG195,U098,U062,CAL01,2023-1
REG196,U029,U024,PRO09,2023-1
REG197,U088,U091,PRO19,2024-1
REG198,U012,U076,PSI13,2024-1
REG199,U049,U076,PRO19,2024-1
REG200,U017,U060,DER20,2024-2
