id_registro,calificaciones
REG048,18:2.96-11:4.48-14:3.31-25:1.31-32:3.11
REG049,11:4.23-15:0.73-15:0.65-16:1.61-43:2.67
REG050,21:0.65-19:2.18-24:2.28-10:2.6-26:3.29
REG052,10:1.19-25:0.03-17:4.57-20:0.85-28:0.01
REG054,25:1.98-26:4.61-29:0.27-12:1.08-8:1.34
REG055,15:1.23-22:4.41-21:2.34-25:0.46-17:1.74
REG056,15:2.87-20:2.4-19:4.95-23:4.2-23:2.89
REG057,20:2.8-16:4.72-21:4.2-21:2.25-22:2.95
REG058,16:3.42-16:3.06-11:0.45-14:3.12-43:0.97
REG060,26:3.66-30:0.8-29:3.02-18:4.12-3:3.03
REG061,29:4.99-19:3.15-27:3.13-23:3.77-2:0.03
REG062,25:2.17-26:4.3-11:3.96-14:0.21-24:3.43
REG064,14:2.57-12:1.76-18:0.76-20:0.19-36:1.69
REG065,20:2.51-28:2.46-27:3.88-23:4.15-2:2.23
REG066,18:0.1-14:0.95-27:4.11-11:0.06-30:3.49
REG068,16:1.93-17:3.69-22:3.83-29:4.65-16:0.69
REG069,17:1.63-10:2.7-18:3.0-20:4.22-35:3.54
REG070,18:0.9-14:1.11-13:4.2-29:4.28-26:2.98
REG072,29:0.24-27:4.78-20:3.32-12:3.71-12:1.81
REG073,20:2.86-24:4.09-13:0.09-10:2.28-33:1.78
REG075,14:4.92-18:1.09-26:4.28-29:1.04-13:2.05
REG076,12:3.46-23:0.99-30:1.63-27:1.29-8:4.41
REG077,16:3.75-18:2.19-13:1.54-17:3.69-36:3.48
REG078,19:4.27-13:1.87-19:0.36-12:1.6-37:4.79
REG079,26:4.28-26:1.27-19:3.17-11:3.99-18:4.11
REG080,21:2.29-15:2.25-10:1.95-27:4.49-27:2.47
REG084,30:2.97-10:0.31-22:1.29-25:3.3-13:4.78
REG087,18:1.63-16:0.38-20:3.98-22:4.4-24:3.36
REG088,12:0.93-18:4.42-25:1.31-24:2.42-21:0.25
REG089,29:4.61-11:3.49-24:1.29-28:3.9-8:1.98
REG090,27:2.86-12:4.36-18:3.51-10:4.28-33:3.86
REG091,12:4.77-20:1.94-26:4.06-10:2.18-32:1.01
REG092,11:2.66-26:4.47-16:1.26-26:3.57-21:0.62
REG093,24:0.62-23:3.46-17:3.31-22:2.44-14:3.09
REG094,22:4.48-12:4.43-25:0.11-13:3.17-28:0.27
REG096,15:1.53-18:1.36-25:2.43-10:2.15-32:2.9
REG098,10:0.6-13:0.75-10:2.77-11:0.33-56:2.84
REG100,25:1.88-23:1.5-28:4.14-20:4.41-4:2.81
REG101,12:1.84-19:2.88-14:3.65-25:3.93-30:3.56
REG102,25:3.11-15:4.97-24:1.79-14:2.37-22:1.52
REG103,14:1.93-14:1.5-12:4.03-23:2.53-37:0.08
REG104,17:2.96-22:2.31-29:0.66-25:4.43-7:3.6
REG105,12:4.95-14:1.3-26:1.0-25:3.06-23:2.92
REG106,24:0.06-15:3.24-10:0.47-26:0.46-25:4.18
REG107,17:3.24-16:3.8-29:2.29-17:2.66-21:0.66
REG108,19:1.63-26:3.86-12:2.35-17:0.91-26:2.46
REG109,25:4.32-28:0.79-25:4.67-30:3.0-8:1.2
REG113,10:0.54-19:2.12-14:3.68-15:1.28-42:3.35
REG114,27:0.2-20:4.52-28:4.11-14:3.73-11:3.05
REG115,29:3.17-26:1.19-20:3.16-11:0.22-14:2.55
REG116,25:0.75-16:1.95-25:4.09-27:3.95-7:0.63
REG117,12:2.4-15:4.84-30:1.43-11:3.47-32:4.99
REG120,22:1.25-20:3.04-26:4.61-16:4.97-16:1.48
REG121,19:0.21-30:3.34-10:2.54-18:1.45-23:2.57
REG123,18:2.79-27:4.53-14:4.18-11:4.56-30:1.82
REG124,18:3.0-20:4.38-17:4.76-27:2.75-18:3.08
REG125,14:2.73-11:0.78-16:2.67-20:2.31-39:2.64
REG126,26:0.56-28:2.88-12:0.81-10:0.96-24:0.07
REG127,12:3.76-19:1.66-17:2.55-25:4.7-27:2.34
REG129,28:3.57-12:2.21-29:2.58-27:4.11-4:4.08
REG130,27:2.74-17:0.68-12:1.71-27:1.2-17:0.6
REG131,18:2.34-26:2.42-12:1.03-30:4.26-14:4.96
REG132,25:3.92-11:3.52-27:0.43-26:4.64-11:1.28
REG133,20:1.45-27:0.66-27:0.23-11:1.11-15:3.33
REG134,23:2.2-18:3.11-29:4.98-18:3.34-12:3.19
REG136,25:1.42-28:1.0-20:0.94-23:2.76-4:4.89
REG137,17:2.11-18:0.8-15:3.17-29:1.31-21:1.71
REG138,25:2.54-17:1.27-19:4.62-24:0.62-15:0.31
REG139,12:1.29-12:1.39-20:2.47-22:0.54-34:2.9
REG140,29:3.35-10:4.04-10:0.52-24:1.66-27:0.09
REG141,14:2.18-12:2.45-18:4.7-25:0.45-31:2.4
REG142,23:0.45-13:4.75-24:3.26-14:2.49-26:0.41
REG143,15:4.91-21:2.28-30:1.49-23:2.51-11:0.22
REG144,23:1.86-11:4.8-14:1.99-22:2.05-30:2.24
REG145,21:1.06-12:4.81-18:1.88-15:3.98-34:4.61
REG146,18:3.93-10:2.77-17:4.68-15:4.37-40:0.24
REG148,30:4.74-24:1.43-19:2.35-13:3.65-14:4.02
REG149,11:3.58-23:1.47-24:2.57-17:2.09-25:4.18
REG150,25:1.95-12:0.56-13:1.95-17:4.1-33:2.21
REG151,18:2.51-21:4.08-26:4.55-10:1.47-25:4.95
REG152,11:1.81-21:0.54-17:2.89-17:1.02-34:3.39
REG153,16:0.03-25:0.43-10:3.49-29:1.66-20:3.58
REG154,17:1.5-29:3.7-17:4.31-28:3.89-9:2.57
REG156,26:0.38-14:2.8-12:1.01-29:1.72-19:3.57
REG157,20:2.59-18:4.68-21:4.91-19:3.79-22:3.71
REG159,28:2.13-14:4.15-19:4.64-28:3.46-11:2.66
REG161,16:1.25-29:0.36-11:2.04-15:0.53-29:4.03
REG162,30:3.16-11:1.54-16:0.17-25:2.69-18:4.24
REG163,18:4.29-19:2.07-23:0.65-28:1.41-12:2.9
REG164,24:0.99-11:3.3-19:3.61-10:3.7-36:2.24
REG165,14:1.84-23:3.86-15:1.37-12:4.88-36:2.9
REG166,12:0.16-28:2.81-24:4.58-19:2.01-17:1.27
REG168,10:0.02-19:2.15-19:1.12-16:4.24-36:0.07
REG169,26:0.28-22:0.71-30:3.1-18:2.71-4:2.2
REG170,11:0.37-22:1.41-27:0.46-12:1.9-28:3.28
REG171,23:2.82-15:1.97-30:0.44-24:4.79-8:3.07
REG172,21:1.07-21:3.46-10:2.48-30:0.0-18:0.98
REG173,21:0.03-13:4.26-26:3.77-29:4.39-11:2.91
REG174,22:3.49-26:2.46-15:1.4-21:2.83-16:0.53
REG175,26:4.43-28:4.64-21:1.62-28:4.64-3:3.67
REG176,29:0.41-17:2.86-13:1.3-23:2.1-18:1.97
REG177,21:2.46-20:3.78-29:2.76-28:3.71-2:1.18
REG179,16:3.53-14:1.57-14:0.11-28:2.76-28:3.2
REG180,14:1.13-14:2.05-14:3.79-10:4.98-48:2.89
REG183,25:0.08-12:4.41-21:0.12-16:4.0-26:2.76
REG184,17:1.25-10:4.2-23:4.63-14:2.96-36:3.16
REG185,10:2.12-30:3.86-28:2.71-13:1.35-19:3.84
REG186,22:1.77-23:3.24-28:3.37-16:0.86-11:1.88
REG187,13:3.89-22:0.14-12:2.22-26:4.18-27:2.21
REG188,20:0.86-18:0.68-28:4.84-16:4.17-18:2.43
REG189,18:1.41-15:3.23-23:1.76-21:2.31-23:3.26
REG190,22:4.97-12:2.78-30:0.53-17:2.15-19:2.0
REG192,20:4.17-16:4.41-26:4.07-30:0.75-8:0.42
REG193,12:0.17-18:0.62-29:4.88-30:4.88-11:1.2
REG195,24:2.71-23:2.37-12:0.59-30:2.82-11:3.27
REG196,17:2.62-24:4.08-28:0.82-24:3.78-7:4.75
REG197,25:1.06-26:3.72-18:0.05-12:0.03-19:3.16
REG198,10:3.29-18:2.33-15:1.98-21:1.88-36:3.88
REG199,11:1.18-14:1.2-10:2.12-25:3.65-40:4.87
